x,y,T (K),power
0.0,0.0,1923.0,80.10441885256091
1.0,0.0,1949.7861752151937,67.39963741132192
0.0,1.0,1941.388109333607,93.09095805089382
0.0,2.0,1954.1287535571676,92.89652157163654
1.0,1.0,1953.6492812850297,104.25007538622668
2.0,0.0,1928.2682975184396,81.42474042583291
3.0,0.0,1950.227678511874,99.21027212686559
2.0,1.0,1956.045126199708,100.71230292064661
1.0,2.0,1935.1675251932134,106.09284668045929
0.0,3.0,1925.1946706894407,102.70953408126616
1.0,3.0,1981.6989145892203,97.34387418810407
2.0,2.0,1945.4798457783204,104.49977875042873
3.0,1.0,1929.7007626291672,105.16955780609352
3.0,2.0,1982.1558321947377,91.92293807895089
2.0,3.0,1944.997206724925,88.70771711772483
3.0,3.0,1973.7641094906633,114.674979001577
